name,sitelat,sitelong,sitelatlong,size,about,imageurl
Xi'an Jiangcun Ditch Garbage Landfill Site,34.2462313,109.100954,"34.2462312960574, 109.100953969386",172 acres,"This site was designed to receive about 2,500 tons of waste every day, but instead ended up taking 10,000 tons of waste daily. As a result, it filled quickly and was forced to close 25 years earlier than intended.",https://image5.sixthtone.com/image/5/21/670.jpg
Apex Regional Landfill,36.45802007,-114.8487382,"36.4580200690783, -114.8487382","2,200 acres","This site is the largest landfill in the United States and receives approximately 9,000 tons of solid waste every day, although it can manage up to 15,000 tons. It opened in 1993 and should be operational for 250 years.",https://www.reviewjournal.com/wp-content/uploads/2017/02/web1_republicinvestmentsfeb12-17_012017cl_004_7836815.jpg?w=640
Bordo Poniente,19.45798813,-99.00934059,"19.4579881263164, -99.00934059",927 acres,"This landfill was the largest landfill in Latin America, up until its closure at the end of 2011. It received between 12,000 and 15,000 tons of waste daily. When the landfill was closed, the 1,500+ families who made a living from collecting recycleables for reselling lost their source of income.",https://live.staticflickr.com/3601/3453918947_baec9f0fb9_b.jpg
Laogang Landfill,31.04108166,121.8395934,"31.0410816554311, 121.8395934",892 acres,"This landfill is one of the largest landfills in Asia and handles round 10,000 tons of waste every day, which is estimated to be about half of the waste generated by Shanghai.",https://obj.shine.cn/files/2019/06/28/0c8ecde1-0647-4f1d-b5e8-abb9b0971258_0.jpg
Malagrotta Landfill,41.85762817,12.33901114,"41.8576281717416, 12.3390111351616",618 acres,"This site is one of the largest landfills in Europe and accepts between 4,500 and 5,000 tons of waste daily. However, Malagrotta Landfill has been extremely detrimental to the air, water, soil, and general environment of the local areas.",https://file.ejatlas.org/img/Conflict/1631/radio3.rai.it.jpg
Puente Hills Landfill,34.0243547,-118.0245231,"34.0243546996812, -118.0245231",630 acres,"At the height of its operation, this landfill received up to 13,200 tons of trash daily. It was closed in October of 2013 and is currently being converted into a park.",https://www.waste360.com/sites/waste360.com/files/Puente-Hills-Landfill.jpg
Sudokwon Landfill,37.5790356,126.6462192,"37.5790356005894, 126.6462192",570 acres,"This landfill receives between 18,000 and 20,000 tons of waste every day from Seoul. There is also an on-site water recycling plant, as well as a museam and other examples of sustainable waste management.",http://img.koreatimes.co.kr/upload/newsV2/images/202009/085cf1a703ee4821b8c1ccbc38d641b3.jpg/dims/resize/740/optimize
Delhi Landfills,28.8031229,77.06957764,"28.8031229, 77.06957764",316 acres,"The Delhi Landfills consists of four different landfills: Narela Bawana, Bhalswa, Okhla, and Ghazipur. Together, they receive the 9,200+ tons of waste that New Delhi produces every day. However, of the four landfills, only Narela Bawana – the newest landfill – still has room to receive more waste.",https://images.hindustantimes.com/rf/image_size_640x362/HT/p2/2016/05/19/Pictures/landfill_ff0ef0e6-1ddd-11e6-a451-36c3a3fdf989.jpg
Deonar Landfill,19.07229818,72.93028233,"19.072298175838, 72.93028233",326 acres,"This landfill is one of the oldest in India and receives 5,500 ons of waste daily. ",https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i5lIiU8iO8vg/v4/1000x-1.jpg
West New Territories Landfill,22.42109044,113.9268067,"22.421090443279432, 113.9268067",272 acres,"This landfill is one of three that serves Hong Kong. It receives over 7,200 tons of waste every day.",https://s.yimg.com/ny/api/res/1.2/jVG4MA1RZfd55a7MZ4QzbQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTY0MDtoPTM3My4zMzMzMzMzMzMzMzMz/https://s.yimg.com/uu/api/res/1.2/M1naJwxvc9AAnUOPpI.WMQ--~B/aD03NzA7dz0xMzIwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/south_china_morning_post_621/6a8bfca7a5102ef984af30a354f9f52f
Xinfeng Landfill,23.27077046,113.4928182,"23.270770463614, 113.492818224989",227 acres,"This site takes 7,000 tons of the average 8,000 tons of waste generated by Guangzhou every day. ",https://ds2f22npxxk3yqbepfu49w1e-wpengine.netdna-ssl.com/wp-content/uploads/2017/06/2-during-construction-top-view-LR.jpg